<<<msexch_database:sep(59)>>>
locale; en-US
"Path";"CookedValue"
"\\winmx\msexchange database ==> instances(edgetransport/ip filtering database)\i/o database reads/sec";"0"
"\\winmx\msexchange database ==> instances(edgetransport/ip filtering database)\i/o database reads average latency";"0"
"\\winmx\msexchange database ==> instances(edgetransport/ip filtering database)\i/o log reads/sec";"0"
"\\winmx\msexchange database ==> instances(edgetransport/ip filtering database)\i/o log reads average latency";"0"
"\\winmx\msexchange database ==> instances(edgetransport/ip filtering database)\i/o database writes (attached)/sec";"0"
"\\winmx\msexchange database ==> instances(edgetransport/ip filtering database)\i/o database writes (attached) average latency";"0"
"\\winmx\msexchange database ==> instances(edgetransport/ip filtering database)\i/o database writes (recovery)/sec";"0"
"\\winmx\msexchange database ==> instances(edgetransport/ip filtering database)\i/o database writes (recovery) average latency";"0"
"\\winmx\msexchange database ==> instances(edgetransport/ip filtering database)\i/o database writes/sec";"0"
"\\winmx\msexchange database ==> instances(edgetransport/ip filtering database)\i/o database writes average latency";"0"
"\\winmx\msexchange database ==> instances(edgetransport/ip filtering database)\i/o flush map writes/sec";"0"
"\\winmx\msexchange database ==> instances(edgetransport/ip filtering database)\i/o flush map writes average latency";"0"
"\\winmx\msexchange database ==> instances(edgetransport/ip filtering database)\i/o log writes/sec";"0"
"\\winmx\msexchange database ==> instances(edgetransport/ip filtering database)\i/o log writes average latency";"0"
"\\winmx\msexchange database ==> instances(edgetransport/ip filtering database)\database cache miss (attached) average latency";"0"
"\\winmx\msexchange database ==> instances(edgetransport/ip filtering database)\database oldest transaction";"0"
"\\winmx\msexchange database ==> instances(information store - mailbox database 1389050408/_total)\defragmentation tasks";"0"
"\\winmx\msexchange database ==> instances(information store - mailbox database 1389050408/_total)\defragmentation tasks pending";"0"
"\\winmx\msexchange database ==> instances(information store - mailbox database 1389050408/_total)\sessions in use";"8"
"\\winmx\msexchange database ==> instances(information store - mailbox database 1389050408/_total)\sessions % used";"0.748362956033676"
"\\winmx\msexchange database ==> instances(information store - mailbox database 1389050408/_total)\table open cache % hit";"0"
"\\winmx\msexchange database ==> instances(information store - mailbox database 1389050408/_total)\table open cache hits/sec";"0"
