Name,Version,License,Link License Text,Repository path,Comment
Python module: pyparsing,3.0.9,MIT,https://opensource.org/licenses/MIT,,
Python module: pypdf,4.0.0,BSD-3-Clause,https://opensource.org/licenses/BSD-3-Clause,,
Python module: pyprof2calltree,1.4.5,MIT,https://opensource.org/licenses/MIT,,
Python module: pyrsistent,0.19.3,MIT,https://opensource.org/licenses/MIT,,
Python module: pysmb,1.2.9.1,Zlib,https://opensource.org/licenses/Zlib,,
Python module: pysmi-lextudio,1.1.13,BSD-2-Clause,https://opensource.org/licenses/bsd-license.php,,
Python module: pysnmp-lextudio,5.0.31,BSD-2-Clause,https://opensource.org/licenses/bsd-license.php,,
Python module: python-active-directory,2.0.1,MIT,https://opensource.org/licenses/MIT,,
Python module: python-dateutil,2.8.2,Apache-2.0,https://opensource.org/licenses/Apache-2.0,,also BSD-3-Clause
Python module: python-ldap,3.4.3,PSF-2.0,https://spdx.org/licenses/PSF-2.0.html,,
Python module: python-snap7,1.3,MIT,https://opensource.org/licenses/MIT,,
Python module: pytz,2023.3,MIT,https://opensource.org/licenses/MIT,,
Python module: pyyaml,6.0.1,MIT,https://opensource.org/licenses/MIT,,
Python module: recurring-ical-events,2.0.2,LGPL-3.0,https://opensource.org/licenses/LGPL-3.0,,
Python module: redis,4.5.4,MIT,https://opensource.org/licenses/MIT,,
Python module: requests-kerberos,0.14.0,ISC,https://opensource.org/licenses/ISC,,
Python module: requests-oauthlib,1.3.1,ISC,https://opensource.org/licenses/ISC,,
Python module: roman,4.0,Python-2.1.1,https://www.python.org/download/releases/2.1.1/license/,,
Python module: rrdtool,0.1.16,LGPL-2.1,https://opensource.org/licenses/LGPL-2.1,,
Python module: s3transfer,0.10.0,Apache-2.0,https://opensource.org/licenses/Apache-2.0,,
Python module: setproctitle,1.3.2,BSD-3-Clause,https://opensource.org/licenses/BSD-3-Clause,,
Python module: setuptools-scm,4.1.2,MIT,https://opensource.org/licenses/MIT,,
Python module: six,1.16.0,MIT,https://opensource.org/licenses/MIT,,
Python module: tenacity,8.2.2,Apache-2.0,https://opensource.org/licenses/Apache-2.0,,
Python module: vcrpy,6.0.0,MIT,https://opensource.org/licenses/MIT,,
Python module: websocket-client,1.5.1,Apache-2.0,https://opensource.org/licenses/Apache-2.0,,
Python module: werkzeug,3.0.1,BSD-3-Clause,https://opensource.org/licenses/BSD-3-Clause,,
Python module: wrapt,1.15.0,BSD-2-Clause,https://opensource.org/licenses/bsd-license.php,,
Python module: xmltodict,0.13.0,MIT,https://opensource.org/licenses/MIT,,
Python module: yarl,1.9.3,Apache-2.0,https://opensource.org/licenses/Apache-2.0,,
Python module: zipp,3.15.0,MIT,https://opensource.org/licenses/MIT,,
RCC,17.17.1,Apache-2.0,https://opensource.org/licenses/Apache-2.0,,
re2,2022-12,BSD-3-Clause,https://opensource.org/licenses/BSD-3-Clause,third_party/re2/re2-2022-12-01.tar.gz,
rrdtool,1.7.2,GPL-2.0,https://opensource.org/licenses/GPL-2.0,third_party/rrdtool/rrdtool-1.7.2-patched.tar.gz,
sapnwrfc,0.19,LGPL-2.1,https://opensource.org/licenses/LGPL-2.1,agents/sap/sapnwrfc-0.19.tar.gz,
xinetd,2.3.15.4,Xinetd,https://spdx.org/licenses/xinetd.html,omd/packages/xinetd/xinetd-2.3.15.4.tar.xz,
yaml,cpp.9a362420,MIT,https://opensource.org/licenses/MIT,third_party/yaml-cpp/yaml-cpp.9a362420.tar.gz,
,,,,,
Icons,,,,,
Classic Icons,,LGPL-2.1,https://opensource.org/licenses/LGPL-2.1,web/htdocs/images/icon_*,
Facelift Icons,,Icons8,https://icons8.com/download/Icons8_License.pdf,web/htdocs/images/icon_*,
Kubernetes Logo,,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/,web/htdocs/themes/facelift/images/icon_kubernetes.svg,
,,,,,
JavaScript and CSS,,,,,
ColorPicker,,MIT,https://opensource.org/licenses/MIT,"web/htdocs/js/colorpicker.js
web/htdocs/js/colorpicker_min.js",
jquery.mobile,1.4.5,MIT,https://opensource.org/licenses/MIT,"web/htdocs/jquery/",Dual licensed under the MIT or GPL Version 2 licenses.
redoc.standalone,2.0.0-rc.44,MIT,https://opensource.org/licenses/MIT,web/htdocs/openapi/redoc.standalone.js,
,,,,,
JavaScript dependencies,,,,,
@aashutoshrathi/word-wrap,1.2.6,MIT,https://opensource.org/licenses/MIT,,
@ampproject/remapping,2.2.1,Apache-2.0,https://opensource.org/licenses/Apache-2.0,,
@babel/code-frame,7.22.13,MIT,https://opensource.org/licenses/MIT,,
@babel/compat-data,7.22.9,MIT,https://opensource.org/licenses/MIT,,
@babel/core,7.22.15,MIT,https://opensource.org/licenses/MIT,,
@babel/eslint-parser,7.22.15,MIT,https://opensource.org/licenses/MIT,,
@babel/generator,7.22.15,MIT,https://opensource.org/licenses/MIT,,
@babel/helper-annotate-as-pure,7.22.5,MIT,https://opensource.org/licenses/MIT,,
@babel/helper-builder-binary-assignment-operator-visitor,7.22.15,MIT,https://opensource.org/licenses/MIT,,
@babel/helper-compilation-targets,7.22.15,MIT,https://opensource.org/licenses/MIT,,
@babel/helper-create-class-features-plugin,7.22.15,MIT,https://opensource.org/licenses/MIT,,
@babel/helper-create-regexp-features-plugin,7.22.15,MIT,https://opensource.org/licenses/MIT,,
@babel/helper-define-polyfill-provider,0.4.2,MIT,https://opensource.org/licenses/MIT,,
@babel/helper-environment-visitor,7.22.5,MIT,https://opensource.org/licenses/MIT,,
@babel/helper-function-name,7.22.5,MIT,https://opensource.org/licenses/MIT,,
@babel/helper-hoist-variables,7.22.5,MIT,https://opensource.org/licenses/MIT,,
@babel/helper-member-expression-to-functions,7.22.15,MIT,https://opensource.org/licenses/MIT,,
@babel/helper-module-imports,7.22.15,MIT,https://opensource.org/licenses/MIT,,
@babel/helper-module-transforms,7.22.15,MIT,https://opensource.org/licenses/MIT,,
@babel/helper-optimise-call-expression,7.22.5,MIT,https://opensource.org/licenses/MIT,,
@babel/helper-plugin-utils,7.22.5,MIT,https://opensource.org/licenses/MIT,,
@babel/helper-remap-async-to-generator,7.22.9,MIT,https://opensource.org/licenses/MIT,,
@babel/helper-replace-supers,7.22.9,MIT,https://opensource.org/licenses/MIT,,
@babel/helper-simple-access,7.22.5,MIT,https://opensource.org/licenses/MIT,,
@babel/helper-skip-transparent-expression-wrappers,7.22.5,MIT,https://opensource.org/licenses/MIT,,
@babel/helper-split-export-declaration,7.22.6,MIT,https://opensource.org/licenses/MIT,,
@babel/helper-string-parser,7.22.5,MIT,https://opensource.org/licenses/MIT,,
@babel/helper-validator-identifier,7.22.15,MIT,https://opensource.org/licenses/MIT,,
@babel/helper-validator-option,7.22.15,MIT,https://opensource.org/licenses/MIT,,
@babel/helper-wrap-function,7.22.10,MIT,https://opensource.org/licenses/MIT,,
@babel/helpers,7.22.15,MIT,https://opensource.org/licenses/MIT,,
@babel/highlight,7.22.13,MIT,https://opensource.org/licenses/MIT,,
@babel/parser,7.22.16,MIT,https://opensource.org/licenses/MIT,,
@babel/plugin-bugfix-safari-id-destructuring-collision-in-function-expression,7.22.15,MIT,https://opensource.org/licenses/MIT,,
@babel/plugin-bugfix-v8-spread-parameters-in-optional-chaining,7.22.15,MIT,https://opensource.org/licenses/MIT,,
@babel/plugin-proposal-class-properties,7.18.6,MIT,https://opensource.org/licenses/MIT,,
@babel/plugin-proposal-object-rest-spread,7.20.7,MIT,https://opensource.org/licenses/MIT,,
@babel/plugin-proposal-private-property-in-object,7.21.0-placeholder-for-preset-env.2,MIT,https://opensource.org/licenses/MIT,,
@babel/plugin-syntax-async-generators,7.8.4,MIT,https://opensource.org/licenses/MIT,,
@babel/plugin-syntax-class-properties,7.12.13,MIT,https://opensource.org/licenses/MIT,,
@babel/plugin-syntax-class-static-block,7.14.5,MIT,https://opensource.org/licenses/MIT,,
